"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"2","0.000027082","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"3","0.000416553","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"4","0.000427686","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"5","0.000446615","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"6","0.000450443","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"7","0.000464313","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"8","0.000474236","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"9","0.000495658","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x0b97, seq=1/256, ttl=64 (reply in 10)"
"10","0.000533242","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64 (request in 9)"
"11","0.000549294","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x0b97, seq=1/256, ttl=64 (reply in 12)"
"12","0.000560135","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64 (request in 11)"
"13","0.001163930","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"14","0.001176832","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"15","0.001204415","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"16","0.001208830","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"17","0.001227290","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"18","0.001238629","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"19","0.001263354","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"20","0.001274400","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"21","0.001298824","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x0b97, seq=1/256, ttl=64 (reply in 22)"
"22","0.001320420","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64 (request in 21)"
"23","0.001336798","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x0b97, seq=1/256, ttl=64 (reply in 24)"
"24","0.001345680","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64 (request in 23)"
"25","0.001361613","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"26","0.001372099","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"27","0.001393719","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"28","0.001404010","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"29","0.001426652","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"30","0.001436942","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"31","0.001959350","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"32","0.001968520","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"33","0.001986855","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"34","0.001990930","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"35","0.002004951","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"36","0.002015225","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"37","0.002036603","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"38","0.002045941","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"39","0.002067308","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"40","0.002076600","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"41","0.002143586","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"42","0.002155546","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"43","0.002168058","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x0b97, seq=1/256, ttl=64 (reply in 44)"
